,bairro,lat_lon
0,Alto São João,"-23.031524, -45.552536"
1,Alto São Pedro,"-23.031725, -45.544638"
2,Ana Rosa,"-23.006061, -45.540900"
3,Areão,"-23.001370, -45.558578"
4,Baronesa,"-23.044787,-45.5640888"
5,Barranco,"-23.0098752,-45.599867"
6,Barreiro,"-23.0671723,-45.5844208"
7,Belém,"-23.048930, -45.554622"
8,Bom Conselho,"-23.040103, -45.577673"
9,Bonfim,"-23.031619, -45.601028"
10,Bosque da Saúde,"-23.029977, -45.543015"
11,Caminho Novo,"-22.998597, -45.546451"
12,Campos Eliseos,"-23.039494, -45.553394"
13,Cataguá,"-23.073280, -45.560595"
14,Cecap,"-23.037184, -45.616185"
15,Centro,"-23.026573, -45.555731"
16,Chafariz,"-23.029058, -45.551662"
17,Chácara Cataguá,"-23.069417, -45.564927"
18,Chácara Felix,"-23.0508177,-45.5603943"
19,Chácara Flórida,"-23.0458757,-45.6122959"
20,Chácara Guisard,"-23.026516, -45.574011"
21,Chácara Hipólito,"-23.0340154,-45.5600363"
22,Chácara Santa Luzia,"-23.0845483,-45.5856654"
23,Chácara Silvestre,"-23.0170539,-45.5248825"
24,Chácara do Visconde,"-23.019996, -45.567669"
25,Chácaras Reunidas Brasil,"-23.054631, -45.566457"
26,Cond. Vila Verde,"-23.0689496,-45.5525549"
27,Emecal,"-23.0169004,-45.5855"
28,Esplanada Independencia,"-23.030576, -45.589384"
29,Esplanada Santa Helena,"-22.9987925,-45.58047"
30,Santa Terezinha,"-23.003644, -45.568721"
31,Estiva,"-23.0174043,-45.5774211"
32,Flor do Vale,"-22.986331, -45.528466"
33,Granja Santa Terezinha,"-23.0518356,-45.5718702"
34,Gurilândia,"-23.002571, -45.529310"
35,Imaculada,"-23.035322, -45.551431"
36,Independência,"-23.034931, -45.584209"
37,Itaim,"-23.0321143,-45.5330958"
38,Itapecirica,"-23.077133, -45.540933"
39,Jabuticabeiras,"-23.0373513,-45.569809"
40,Jaraguá,"-23.001479, -45.543370"
41,Jardim America,"-23.036731, -45.538507"
42,Jardim América,"-23.037502, -45.538143"
43,Jardim Ana Emília,"-23.018838, -45.539089"
44,Jardim Ana Lúcia,"-23.0429185,-45.5463014"
45,Jardim Ana Rosa,"-23.006060, -45.540981"
46,Jardim Bom Conselho,"-23.0284981,-45.5667471"
47,Jardim California,"-23.003413, -45.552259"
48,Jardim Colombia,"-23.035142,-45.5746011"
49,Jardim Continental,"-23.0611929,-45.5770457"
50,Jardim Eliete,"-23.050168, -45.563879"
51,Jardim Eulália,"-23.041866, -45.561651"
52,Jardim Humaita,"-23.035489, -45.557948"
53,Jardim Maria Augusta,"-23.024842, -45.544973"
54,Jardim Morumbi,"-23.0180058,-45.5618785"
55,Jardim Mourisco,"-23.008812, -45.562726"
56,Jardim Neusa Maria,"-23.0222159,-45.5496751"
57,Jardim Resende,"-23.0107538,-45.5681023"
58,Jardim Sandra Maria,"-23.028439, -45.529155"
59,Jardim Santa Clara,"-23.014599, -45.547985"
60,Jardim Santa Tereza,"-23.052276, -45.628143"
61,Jardim Sônia Maria,"-23.029551, -45.533636"
62,Jardim das Nações,"-23.032180, -45.573228"
63,Jardim do Sol,"-23.0156639,-45.5371592"
64,Jardim dos Lagos,"-23.048333,-45.5812185"
65,Jardim dos Passos,"-23.0241796,-45.5720511"
66,Jardim dos Passáros,xxx
67,Marlene Miranda,"-23.075058, -45.546640"
68,Monjolinho,"-23.068991, -45.455128"
69,Monte Belo,"-23.0493785,-45.5592923"
70,Monção,"-23.018328, -45.562232"
71,Morada dos Nobres,"-23.060336, -45.566940"
72,Mourisco,"-23.008919, -45.562520"
73,Novo Horizonte,"-23.0367656,-45.6159148"
74,Parque Aeroporto,"-23.012446,-45.5906267"
75,Parque Arco Iris,"-23.0010742,-45.5657491"
76,Parque Paduan,"-23.013776, -45.532847"
77,Parque Santo Antônio,"-23.006193, -45.558603"
78,Parque São Luis,"-22.997158, -45.560827"
79,Parque Três Marias,"-23.027086, -45.533175"
80,Parque Urupês,"-23.0001639,-45.5402186"
81,Pinheirinho,"-22.996901, -45.648790"
82,Piracangaguá,"-23.067082, -45.605962"
83,Quiririm,"-23.0286059,-45.6305587"
84,Recanto dos Coquerais,"-23.012408,-45.5758837"
85,Residencial Arco Íris,"-23.0010742,-45.5668435"
86,Residencial Bom Conselho,"-23.040148, -45.578540"
87,Residencial Jardim Oásis,"-23.0417688,-45.6098236"
88,Residencial Ouro Ville,"-23.0402284,-45.6357112"
89,Residencial São Francisco,"-23.0291243,-45.5625566"
90,San Marino,"-23.0031705,-45.5269535"
91,Santa Helena,"-22.9987925,-45.58047"
92,Santa Isabel,"-23.0174122,-45.5732924"
93,Santa Izabel,"-23.0007481,-45.576349"
94,Santa Iês,"-22.998398, -45.569504"
95,Santa Tereza,"-23.052395, -45.628057"
96,Sitio Santo Antônio,"-23.0083335,-45.523869"
97,São Gonçalo,"-23.052618,-45.595489"
98,São Paulo,"-23.0217018,-45.5679979"
99,Taubaté Village,"-23.026839,-45.5827655"
100,Terra Nova,"-23.029388, -45.538177"
101,Vale das Flores,"-23.052618,-45.595489"
102,Vila Aparecida,"-23.0117156,-45.5670842"
103,Vila Bela,"-23.007863, -45.587121"
104,Vila Costa,"-23.021024, -45.582208"
105,Vila Edmundo,"-23.024852, -45.571188"
106,Vila IAPI,"-23.020193, -45.562534"
107,Vila Marli,"-23.012711, -45.557067"
108,Vila Nogueira,"-23.0106189,-45.5636041"
109,Vila Olímpia,"-22.998546, -45.536396"
110,Vila Prosperidade,"-23.007618, -45.577902"
111,Vila Rica,"-23.018115, -45.569859"
112,Vila São Geraldo,"-22.9998391,-45.5583359"
113,Vila São José,"-23.014975, -45.542538"
114,Vila das Graças,"-23.016573, -45.555156"
115,Vila dos Comerciários,"-22.996171, -45.575425"
116,Água Quente,"-23.001511, -45.536088"
117,Granjas Panorama,"-23.067208, -45.517352"
118,São Charbel,"-22.997434,-45.5525407"
119,xxx,xxx
120,Estoril,"-23.0582841,-45.6072353"
121,Jardim dos Estados,"-23.004211, -45.547625"
122,Granja Daniel,"-23.0171741,-45.5672321"
123,Shalon,"-23.0077876,-45.5374109"
124,Chácara Ingrid,"-23.0928807,-45.5960353"
125,Jardim Julieta,"-23.052464, -45.556345"
126,Jardim Paulista,"-23.045759, -45.574272"
127,Portal da Mantiqueira,"-23.0291273,-45.5926359"
128,Residencial Colinas,"-23.0569623,-45.5573985"
129,São Jorge,"-23.008520, -45.554609"
130,Cidade de Deus,"-23.0385143,-45.5673425"
131,Morada do Vale,"-23.052003, -45.578156"
132,Residencial Paraiso,"-23.048008, -45.559471"
133,Vila Paulista,"-23.038709, -45.574635"
134,Cidade Jardim,"-23.046343, -45.579936"
135,Esplanda Independência,"-23.030595, -45.587152"
136,Jardim Russi,"-23.0327957,-45.561525"
137,Jardim da Luz,"-23.013055, -45.564850"
138,Parque São Cristovão,"-22.999058, -45.574560"
139,Parque São Jorge,"-23.0070878,-45.5591658"
140,Parque das Flores,"-23.0100257,-45.5777339"
141,Piratininga,"-23.009063, -45.591445"
142,Residencial San Marino,"-23.0031705,-45.5258619"
143,Santa Clara,"-23.013266, -45.547566"
144,Santa Cruz do Areão,"-22.9984369,-45.5658883"
145,Santa Fé,"-23.0220582,-45.5793547"
146,São Judas Tadeu,"-23.066552, -45.518150"
147,Água Grande,"-23.0670224,-45.5771963"
148,Conj. Habitacional Taubaté,"-22.9982359,-45.572427"
149,Jardim Canuto Borges,"-23.010027, -45.569482"
150,Jardim Garcez,"-23.0043416,-45.5682853"
151,Parque Bandeirantes,"-23.014188, -45.584384"
152,Residencial Estorial,"-23.0575229,-45.6006558"
153,Santa Catarina,"-23.0062232,-45.5851217"
154,Taubateguassu,"-22.9988386,-45.540913"
155,Abaeté,"-23.0326366,-45.5997123"
